time,event,p1,p2
0.051740277183553805,6,9,88.0
0.09579793719875677,3,190,104.0
0.09727673758735726,6,76,105.0
0.18005925647605514,3,129,174.0
0.207261391356171,6,130,107.0
0.27620683355136544,3,107,51.0
0.3705564636367734,3,129,52.0
0.5079210272261984,3,35,112.0
0.5286911893059931,6,91,34.0
0.6296249970993741,3,175,92.0
0.6828116428670522,3,196,169.0
0.707773368123737,3,156,180.0
0.806198682803672,3,7,28.0
0.8458748244035265,6,13,137.0
1.031628185770213,3,105,101.0
1.1570338846483073,3,78,196.0
1.1589078887162432,3,159,4.0
1.1856233827114075,3,108,149.0
1.2396847603031942,3,85,44.0
1.2636029487303957,3,179,12.0
1.2935931637040097,3,80,127.0
1.3245629130367131,6,176,108.0
1.3513993692744644,3,41,159.0
1.4005651962154708,3,97,111.0
1.7421369499190735,3,161,163.0
1.7945748318975892,3,139,193.0
1.813624776833927,6,121,120.0
1.830105562322748,3,176,85.0
1.8683162067821109,3,2,90.0
1.884731931573466,3,54,62.0
1.9283120099203113,3,96,56.0
1.9368520533073856,3,72,11.0
2.0149014179910507,3,50,109.0
2.1094214209299667,3,87,119.0
2.1107009500160503,3,152,79.0
2.1535021041493407,3,138,105.0
2.193524217051986,3,173,123.0
2.1958723515873166,3,16,89.0
2.2899744219402898,6,160,118.0
2.431998404940433,3,114,143.0
2.4449993006554567,3,145,143.0
2.6087208288987687,3,125,153.0
2.659203049764591,6,124,30.0
2.668368236546794,6,193,26.0
2.67322301340196,6,39,54.0
2.7305714439041573,6,113,61.0
2.731990769084851,6,68,74.0
2.7707068553635286,3,190,121.0
2.804749468743223,3,13,70.0
2.827531360097691,6,40,131.0
2.8927061853951352,3,135,19.0
2.9657582934373945,6,4,52.0
2.999790686007883,3,189,56.0
3.0066356529589897,3,147,149.0
3.070874043965487,3,192,79.0
3.0726530442482414,3,182,6.0
3.077693886557952,3,156,29.0
3.0927830165362646,6,156,33.0
3.1546248406382285,3,185,55.0
3.1806977068197884,6,183,153.0
3.3306551835716354,6,197,102.0
3.430523977222993,3,133,91.0
3.6528396598296604,6,37,152.0
3.7743271324484478,3,11,70.0
3.8689537666415457,3,64,90.0
3.936294487925438,3,162,15.0
3.9553777377324235,3,21,102.0
3.9580811768729385,3,107,70.0
4.016086644839607,3,14,71.0
4.064477504246533,3,133,87.0
4.123284213957395,3,115,43.0
4.150277002659148,6,102,199.0
4.231184773008371,3,13,199.0
4.261680311092161,6,188,138.0
4.271960534673579,6,45,53.0
4.2814328217649065,3,137,12.0
4.301960904406632,6,101,137.0
4.327042194870557,10,107,
4.353418774230474,3,178,44.0
4.366139864186622,3,122,162.0
4.442890030848631,6,56,194.0
4.532897298000211,3,134,164.0
4.600072458051564,3,130,134.0
4.628605428308931,3,87,39.0
4.65798414842775,3,183,4.0
4.682352304694319,1,70,107.0
4.9261676289909255,3,73,138.0
4.984405060439084,3,8,186.0
5.002965655898276,3,109,88.0
5.076508567441679,3,182,189.0
5.105180997900711,3,20,90.0
5.140916078118119,9,70,
5.150718394028188,3,34,112.0
5.320532874248362,1,25,70.0
5.3284761714226185,3,54,17.0
5.35447417846762,6,89,44.0
5.462695367319891,6,62,54.0
5.481639948889921,3,141,161.0
5.5065150160998,6,163,138.0
5.605738653328768,1,138,107.0
5.620013951088162,6,165,65.0
5.6352603623327,4,98,107.0
5.65558419568436,1,180,107.0
5.76662446342869,1,197,107.0
5.774250902827318,6,13,53.0
5.77804140118386,3,24,119.0
5.8042767776058986,3,111,190.0
5.920999666896248,3,193,166.0
5.992393256850054,3,64,74.0
6.0133503031376225,6,138,105.0
