time,event,p1,p2
13.99236195398295,1,367,445.0
14.00118767413412,1,120,34.0
14.018195504601188,1,118,123.0
14.020619965160893,10,287,
14.030010637179693,10,138,
14.079202477661159,1,273,216.0
14.090584869476743,10,380,
14.136393909918853,10,368,
14.1517853587315,10,426,
14.1660058226129,9,379,
14.195377210855964,1,314,138.0
14.197429675524992,1,81,138.0
14.200251578777872,3,134,22.0
14.217346791533624,1,23,57.0
14.219561268171834,1,132,350.0
14.264338182520106,1,38,445.0
14.279416441461567,10,340,
14.292638400301962,1,1,287.0
14.297323549928256,1,345,452.0
14.303076271328477,1,428,368.0
14.313621115876291,1,127,341.0
14.33035664606467,3,422,98.0
14.355529798396644,1,196,68.0
14.360884199715185,9,196,
14.363458143104953,1,310,115.0
14.368697431704675,1,259,366.0
14.377012531624322,1,152,138.0
14.395514693213777,1,315,68.0
14.419497368907647,1,423,6.0
14.429617027400743,10,490,
14.455523122439644,1,483,196.0
14.478370379288501,9,309,
14.511346756617574,1,134,57.0
14.530464381073422,1,271,340.0
14.56261985623056,9,283,
14.579546919283294,1,329,452.0
14.603604598660754,10,461,
14.63247721318395,1,51,34.0
14.638043955387852,1,117,170.0
14.660431138826697,1,11,283.0
14.668610511843315,1,223,436.0
14.687087335484152,1,357,212.0
14.692463602078224,10,120,
14.710370256665405,1,338,115.0
14.74380452719238,9,424,
14.746299640111085,10,345,
14.75035714790358,1,135,350.0
14.75756126091243,10,449,
14.766494313740846,1,281,442.0
14.76906343319575,1,179,378.0
14.798849188594462,9,134,
14.853176735360229,1,133,254.0
14.856104965764136,1,79,123.0
14.856262657937043,1,297,200.0
14.891262626605979,1,136,138.0
14.90923430895597,2,340,
14.934362099245712,1,233,431.0
14.93512339247318,10,259,
14.967352545093442,9,262,
14.981266735443777,10,372,
14.99597994481225,2,480,
15.000560145566467,9,427,
15.070993243811811,4,395,160.0
15.072657664155926,2,337,
15.09736017116644,1,419,30.0
15.106285789380236,1,403,200.0
15.110196806499843,9,440,
15.114228640766672,1,145,424.0
15.15598934505593,1,188,440.0
15.197418461557993,1,116,380.0
15.198246163454742,10,428,
15.207733076387397,1,353,449.0
15.213697214233335,1,401,389.0
15.235668784820534,1,104,378.0
15.254414703775032,1,17,134.0
15.271999683440828,9,17,
15.297676577758208,3,261,306.0
15.307932773519049,1,184,68.0
15.308205901410357,1,180,34.0
15.332623317480662,1,83,380.0
15.338922877494486,10,136,
15.346667747722819,2,440,
15.348699304251802,1,142,350.0
15.364886212050536,1,149,400.0
15.39920587046807,1,312,341.0
15.4048879354828,3,163,443.0
15.416479131066538,1,261,380.0
15.441994240581112,2,373,
15.453343623623093,3,484,289.0
15.45821624533969,10,142,
15.469044714217043,1,176,368.0
15.474839116900228,1,422,57.0
15.49035097532886,1,163,196.0
15.527893390028641,10,392,
15.536104944697003,2,449,
15.542821121446922,1,35,123.0
